task,method,raw_method,snr_db,accuracy_mean,accuracy_std,n_seeds
b_to_c,ERM-SDAE,erm,-6.0,0.47324046920821117,0.0,1
b_to_c,ERM-SDAE,erm,0.0,0.5443548387096774,0.0,1
b_to_c,ERM-SDAE,erm,6.0,0.5843108504398827,0.0,1
b_to_c,MMD-SDAE,mmd,-6.0,0.47250733137829914,0.0,1
b_to_c,MMD-SDAE,mmd,0.0,0.5648826979472141,0.0,1
b_to_c,MMD-SDAE,mmd,6.0,0.5989736070381232,0.0,1
b_to_c,Mixup-SDAE,mixup,-6.0,0.45821114369501464,0.0,1
b_to_c,Mixup-SDAE,mixup,0.0,0.5513196480938416,0.0,1
b_to_c,Mixup-SDAE,mixup,6.0,0.5956744868035191,0.0,1
b_to_d,Adaptive-SDAE-3M,proposed,-6.0,0.6121700879765396,0.0,1
b_to_d,Adaptive-SDAE-3M,proposed,0.0,0.7005131964809385,0.0,1
b_to_d,Adaptive-SDAE-3M,proposed,6.0,0.7386363636363636,0.0,1
b_to_d,CORAL-SDAE,coral,-6.0,0.5773460410557185,0.0,1
b_to_d,CORAL-SDAE,coral,0.0,0.6711876832844574,0.0,1
b_to_d,CORAL-SDAE,coral,6.0,0.718841642228739,0.0,1
b_to_d,DANN-SDAE,dann,-6.0,0.5784457478005866,0.0,1
b_to_d,DANN-SDAE,dann,0.0,0.6609237536656891,0.0,1
b_to_d,DANN-SDAE,dann,6.0,0.7038123167155426,0.0,1
b_to_d,ERM-SDAE,erm,-6.0,0.5623167155425219,0.0,1
b_to_d,ERM-SDAE,erm,0.0,0.6678885630498533,0.0,1
b_to_d,ERM-SDAE,erm,6.0,0.7151759530791789,0.0,1
b_to_d,MMD-SDAE,mmd,-6.0,0.5685483870967742,0.0,1
b_to_d,MMD-SDAE,mmd,0.0,0.6744868035190615,0.0,1
b_to_d,MMD-SDAE,mmd,6.0,0.7089442815249267,0.0,1
b_to_d,Mixup-SDAE,mixup,-6.0,0.5388563049853372,0.0,1
b_to_d,Mixup-SDAE,mixup,0.0,0.6535923753665689,0.0,1
b_to_d,Mixup-SDAE,mixup,6.0,0.7100439882697948,0.0,1
c_to_a,Adaptive-SDAE-3M,proposed,-6.0,0.5084310850439883,0.0,1
c_to_a,Adaptive-SDAE-3M,proposed,0.0,0.530791788856305,0.0,1
c_to_a,Adaptive-SDAE-3M,proposed,6.0,0.6213343108504399,0.0,1
c_to_a,CORAL-SDAE,coral,-6.0,0.40542521994134895,0.0,1
c_to_a,CORAL-SDAE,coral,0.0,0.42961876832844575,0.0,1
c_to_a,CORAL-SDAE,coral,6.0,0.46517595307917886,0.0,1
c_to_a,DANN-SDAE,dann,-6.0,0.3852639296187683,0.0,1
c_to_a,DANN-SDAE,dann,0.0,0.43658357771260997,0.0,1
c_to_a,DANN-SDAE,dann,6.0,0.43585043988269795,0.0,1
c_to_a,ERM-SDAE,erm,-6.0,0.36730205278592376,0.0,1
c_to_a,ERM-SDAE,erm,0.0,0.4039589442815249,0.0,1
c_to_a,ERM-SDAE,erm,6.0,0.43658357771260997,0.0,1
c_to_a,MMD-SDAE,mmd,-6.0,0.3790322580645161,0.0,1
c_to_a,MMD-SDAE,mmd,0.0,0.40615835777126097,0.0,1
c_to_a,MMD-SDAE,mmd,6.0,0.4442815249266862,0.0,1
c_to_a,Mixup-SDAE,mixup,-6.0,0.3379765395894428,0.0,1
c_to_a,Mixup-SDAE,mixup,0.0,0.3654692082111437,0.0,1
c_to_a,Mixup-SDAE,mixup,6.0,0.3845307917888563,0.0,1
c_to_b,Adaptive-SDAE-3M,proposed,-6.0,0.5597507331378299,0.0,1
c_to_b,Adaptive-SDAE-3M,proposed,0.0,0.6184017595307918,0.0,1
c_to_b,Adaptive-SDAE-3M,proposed,6.0,0.6653225806451613,0.0,1
c_to_b,CORAL-SDAE,coral,-6.0,0.5161290322580645,0.0,1
c_to_b,CORAL-SDAE,coral,0.0,0.5901759530791789,0.0,1
c_to_b,CORAL-SDAE,coral,6.0,0.6217008797653959,0.0,1
c_to_b,DANN-SDAE,dann,-6.0,0.5487536656891495,0.0,1
c_to_b,DANN-SDAE,dann,0.0,0.6110703812316716,0.0,1
c_to_b,DANN-SDAE,dann,6.0,0.625733137829912,0.0,1
c_to_b,ERM-SDAE,erm,-6.0,0.5153958944281525,0.0,1
c_to_b,ERM-SDAE,erm,0.0,0.5879765395894428,0.0,1
c_to_b,ERM-SDAE,erm,6.0,0.6268328445747801,0.0,1
c_to_b,MMD-SDAE,mmd,-6.0,0.5450879765395894,0.0,1
c_to_b,MMD-SDAE,mmd,0.0,0.5978739002932552,0.0,1
c_to_b,MMD-SDAE,mmd,6.0,0.6323313782991202,0.0,1
c_to_b,Mixup-SDAE,mixup,-6.0,0.4901026392961877,0.0,1
c_to_b,Mixup-SDAE,mixup,0.0,0.5692815249266863,0.0,1
c_to_b,Mixup-SDAE,mixup,6.0,0.6000733137829912,0.0,1
c_to_d,Adaptive-SDAE-3M,proposed,-6.0,0.5586510263929618,0.0,1
c_to_d,Adaptive-SDAE-3M,proposed,0.0,0.624266862170088,0.0,1
c_to_d,Adaptive-SDAE-3M,proposed,6.0,0.6796187683284457,0.0,1
c_to_d,CORAL-SDAE,coral,-6.0,0.501466275659824,0.0,1
c_to_d,CORAL-SDAE,coral,0.0,0.5821114369501467,0.0,1
c_to_d,CORAL-SDAE,coral,6.0,0.624633431085044,0.0,1
