method,raw_method,accuracy_mean,accuracy_std
Adaptive-SDAE-3M,proposed,0.6373717008797654,0.08663318405490601
CORAL-SDAE,coral,0.5909090909090909,0.08785037162968355
DANN-SDAE,dann,0.5851356304985337,0.08755817349466896
MMD-SDAE,mmd,0.5848607038123167,0.08875848017862813
ERM-SDAE,erm,0.5726417399804496,0.10095458606830857
Mixup-SDAE,mixup,0.5602394916911045,0.10957443648290224
