task,method,raw_method,seed,accuracy,macro_f1,best_epoch,source_domain,target_domain,hidden_dims
c_to_d,Mixup-SDAE,mixup,42,0.623533724340176,0.5432652427782471,8,N15_M07_F04,N15_M07_F10,512-256
c_to_d,CORAL-SDAE,coral,42,0.6319648093841642,0.5369961522488589,10,N15_M07_F04,N15_M07_F10,512-256
c_to_d,MMD-SDAE,mmd,42,0.6154692082111437,0.5326077979623857,9,N15_M07_F04,N15_M07_F10,512-256
c_to_d,DANN-SDAE,dann,42,0.6341642228739003,0.5329110977673083,7,N15_M07_F04,N15_M07_F10,512-256
c_to_d,Adaptive-SDAE-3M,proposed,42,0.7074780058651027,0.7165674298414882,10,N15_M07_F04,N15_M07_F10,640-320
d_to_a,ERM-SDAE,erm,42,0.44501466275659823,0.36074486866262223,9,N15_M07_F10,N09_M07_F10,512-256
d_to_a,Mixup-SDAE,mixup,42,0.4439149560117302,0.3706485553364795,9,N15_M07_F10,N09_M07_F10,512-256
d_to_a,CORAL-SDAE,coral,42,0.5153958944281525,0.43317806428042643,10,N15_M07_F10,N09_M07_F10,512-256
d_to_a,MMD-SDAE,mmd,42,0.5102639296187683,0.42242308751999075,7,N15_M07_F10,N09_M07_F10,512-256
d_to_a,DANN-SDAE,dann,42,0.4912023460410557,0.40790561627981914,7,N15_M07_F10,N09_M07_F10,512-256
d_to_a,Adaptive-SDAE-3M,proposed,42,0.6055718475073314,0.5541965125217545,10,N15_M07_F10,N09_M07_F10,640-320
d_to_b,ERM-SDAE,erm,42,0.7269061583577713,0.6202450117408962,10,N15_M07_F10,N15_M01_F10,512-256
d_to_b,Mixup-SDAE,mixup,42,0.7401026392961877,0.6653925445414255,10,N15_M07_F10,N15_M01_F10,512-256
d_to_b,CORAL-SDAE,coral,42,0.7397360703812317,0.6358999327079129,10,N15_M07_F10,N15_M01_F10,512-256
d_to_b,MMD-SDAE,mmd,42,0.7426686217008798,0.6468596857626797,9,N15_M07_F10,N15_M01_F10,512-256
d_to_b,DANN-SDAE,dann,42,0.7283724340175953,0.6049108908737018,9,N15_M07_F10,N15_M01_F10,512-256
d_to_b,Adaptive-SDAE-3M,proposed,42,0.7873900293255132,0.7747783955831046,10,N15_M07_F10,N15_M01_F10,640-320
d_to_c,ERM-SDAE,erm,42,0.5993401759530792,0.5273544491659145,10,N15_M07_F10,N15_M07_F04,512-256
d_to_c,Mixup-SDAE,mixup,42,0.5813782991202346,0.5274440095663846,10,N15_M07_F10,N15_M07_F04,512-256
d_to_c,CORAL-SDAE,coral,42,0.6008064516129032,0.5333915894365486,7,N15_M07_F10,N15_M07_F04,512-256
d_to_c,MMD-SDAE,mmd,42,0.6004398826979472,0.5265744672333371,10,N15_M07_F10,N15_M07_F04,512-256
d_to_c,DANN-SDAE,dann,42,0.5967741935483871,0.5208899637976724,8,N15_M07_F10,N15_M07_F04,512-256
d_to_c,Adaptive-SDAE-3M,proposed,42,0.6356304985337243,0.6730603056508984,8,N15_M07_F10,N15_M07_F04,512-256
