method,raw_method,accuracy_mean,accuracy_std
Adaptive-SDAE-3M,proposed,0.6630315249266862,0.18658498804937237
Mixup-SDAE,mixup,0.6605571847507331,0.15563171006448412
DANN-SDAE,dann,0.657532991202346,0.11641179730632076
ERM-SDAE,erm,0.657532991202346,0.1350289077537531
MMD-SDAE,mmd,0.6550586510263929,0.11731159846301861
CORAL-SDAE,coral,0.6401209677419355,0.11142785589209728
