task,method,raw_method,seed,accuracy,macro_f1,best_epoch,source_domain,target_domain,hidden_dims
radial_shift,Mixup-SDAE,mixup,7,0.5986070381231672,0.535655119985521,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,CORAL-SDAE,coral,7,0.5989736070381232,0.5246326467377574,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,MMD-SDAE,mmd,7,0.5960410557184751,0.5189906959259306,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,DANN-SDAE,dann,7,0.6015395894428153,0.5237494942800817,8,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Adaptive-SDAE-3M,proposed,7,0.6535923753665689,0.6937736298680702,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,ERM-SDAE,erm,2024,0.5997067448680352,0.5311535824489682,9,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Mixup-SDAE,mixup,2024,0.5982404692082112,0.5413458978020641,9,N15_M07_F10,N15_M07_F04,512-256
radial_shift,CORAL-SDAE,coral,2024,0.6026392961876833,0.5321160995936015,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,MMD-SDAE,mmd,2024,0.5964076246334311,0.5118120105616274,10,N15_M07_F10,N15_M07_F04,512-256
radial_shift,DANN-SDAE,dann,2024,0.5810117302052786,0.5049602614474598,6,N15_M07_F10,N15_M07_F04,512-256
radial_shift,Adaptive-SDAE-3M,proposed,2024,0.6407624633431085,0.6823330738007068,10,N15_M07_F10,N15_M07_F04,512-256
