stage,expansion,hidden_dims,val_loss,accepted,improvement_abs,improvement_rel,traj_rel_std,traj_slope,traj_stable,task,source_domain,target_domain,seed
0,base,512-256,0.574261792681434,True,,,0.28243779454051937,-0.3558442706061948,False,speed_shift,N15_M07_F10,N09_M07_F10,42
1,width,640-320,0.5529354106296193,False,0.021326382051814696,0.03713703806104561,0.31263883708204887,-0.4210217702773312,False,speed_shift,N15_M07_F10,N09_M07_F10,42
2,depth,512-256-128,0.7020163373513655,False,-0.12775454466993152,-0.22246742913784984,0.4854244055459691,-0.763557610588689,False,speed_shift,N15_M07_F10,N09_M07_F10,42
0,base,512-256,0.5548169856721704,True,,,0.33237727709796505,-0.3413525123750009,False,load_shift,N15_M07_F10,N15_M01_F10,42
1,width,640-320,0.5423891300504858,False,0.01242785562168458,0.022399919149245256,0.35306198064112193,-0.36406508491885275,False,load_shift,N15_M07_F10,N15_M01_F10,42
2,depth,512-256-128,0.6100294373252175,False,-0.05521245165304711,-0.09951471039798154,0.42016308269905767,-0.5549243188673446,False,load_shift,N15_M07_F10,N15_M01_F10,42
0,base,512-256,0.5770050422711805,True,,,0.3297444675866204,-0.354380810645319,False,radial_shift,N15_M07_F10,N15_M07_F04,42
1,width,640-320,0.5826499624685808,False,-0.0056449201974002605,-0.009783138419693851,0.33304258463432423,-0.3407810714937026,False,radial_shift,N15_M07_F10,N15_M07_F04,42
2,depth,512-256-128,0.6328250874172557,False,-0.05582004514607519,-0.09674100060955952,0.44571726669765727,-0.5997221258378799,False,radial_shift,N15_M07_F10,N15_M07_F04,42
