task,method,raw_method,seed,snr_db,accuracy
load_shift,CORAL-SDAE,coral,7,-6.0,0.5872434017595308
load_shift,MMD-SDAE,mmd,7,6.0,0.7199413489736071
load_shift,MMD-SDAE,mmd,7,0.0,0.6744868035190615
load_shift,MMD-SDAE,mmd,7,-6.0,0.5758797653958945
load_shift,DANN-SDAE,dann,7,6.0,0.7140762463343109
load_shift,DANN-SDAE,dann,7,0.0,0.6752199413489736
load_shift,DANN-SDAE,dann,7,-6.0,0.592375366568915
load_shift,Adaptive-SDAE-3M,proposed,7,6.0,0.7672287390029325
load_shift,Adaptive-SDAE-3M,proposed,7,0.0,0.7148093841642229
load_shift,Adaptive-SDAE-3M,proposed,7,-6.0,0.6315982404692082
load_shift,ERM-SDAE,erm,2024,6.0,0.7126099706744868
load_shift,ERM-SDAE,erm,2024,0.0,0.6686217008797654
load_shift,ERM-SDAE,erm,2024,-6.0,0.594208211143695
load_shift,Mixup-SDAE,mixup,2024,6.0,0.7261730205278593
load_shift,Mixup-SDAE,mixup,2024,0.0,0.6653225806451613
load_shift,Mixup-SDAE,mixup,2024,-6.0,0.5252932551319648
load_shift,CORAL-SDAE,coral,2024,6.0,0.7247067448680352
load_shift,CORAL-SDAE,coral,2024,0.0,0.6964809384164223
load_shift,CORAL-SDAE,coral,2024,-6.0,0.5828445747800587
load_shift,MMD-SDAE,mmd,2024,6.0,0.7122434017595308
load_shift,MMD-SDAE,mmd,2024,0.0,0.6803519061583577
load_shift,MMD-SDAE,mmd,2024,-6.0,0.5674486803519062
load_shift,DANN-SDAE,dann,2024,6.0,0.719208211143695
load_shift,DANN-SDAE,dann,2024,0.0,0.6913489736070382
load_shift,DANN-SDAE,dann,2024,-6.0,0.5861436950146628
load_shift,Adaptive-SDAE-3M,proposed,2024,6.0,0.7584310850439883
load_shift,Adaptive-SDAE-3M,proposed,2024,0.0,0.7214076246334311
load_shift,Adaptive-SDAE-3M,proposed,2024,-6.0,0.6495601173020528
radial_shift,ERM-SDAE,erm,42,6.0,0.593475073313783
radial_shift,ERM-SDAE,erm,42,0.0,0.5593841642228738
radial_shift,ERM-SDAE,erm,42,-6.0,0.4842375366568915
radial_shift,Mixup-SDAE,mixup,42,6.0,0.5634164222873901
radial_shift,Mixup-SDAE,mixup,42,0.0,0.5223607038123167
radial_shift,Mixup-SDAE,mixup,42,-6.0,0.41348973607038125
radial_shift,CORAL-SDAE,coral,42,6.0,0.5876099706744868
radial_shift,CORAL-SDAE,coral,42,0.0,0.5560850439882697
radial_shift,CORAL-SDAE,coral,42,-6.0,0.4571114369501466
radial_shift,MMD-SDAE,mmd,42,6.0,0.5821114369501467
radial_shift,MMD-SDAE,mmd,42,0.0,0.5487536656891495
radial_shift,MMD-SDAE,mmd,42,-6.0,0.45857771260997066
radial_shift,DANN-SDAE,dann,42,6.0,0.5802785923753666
radial_shift,DANN-SDAE,dann,42,0.0,0.5483870967741935
radial_shift,DANN-SDAE,dann,42,-6.0,0.4776392961876833
radial_shift,Adaptive-SDAE-3M,proposed,42,6.0,0.6165689149560117
radial_shift,Adaptive-SDAE-3M,proposed,42,0.0,0.5821114369501467
radial_shift,Adaptive-SDAE-3M,proposed,42,-6.0,0.5289589442815249
radial_shift,ERM-SDAE,erm,7,6.0,0.5850439882697948
radial_shift,ERM-SDAE,erm,7,0.0,0.5403225806451613
radial_shift,ERM-SDAE,erm,7,-6.0,0.4930351906158358
radial_shift,Mixup-SDAE,mixup,7,6.0,0.5773460410557185
radial_shift,Mixup-SDAE,mixup,7,0.0,0.5282258064516129
radial_shift,Mixup-SDAE,mixup,7,-6.0,0.4633431085043988
radial_shift,CORAL-SDAE,coral,7,6.0,0.592008797653959
radial_shift,CORAL-SDAE,coral,7,0.0,0.5520527859237536
radial_shift,CORAL-SDAE,coral,7,-6.0,0.4831378299120235
radial_shift,MMD-SDAE,mmd,7,6.0,0.5879765395894428
radial_shift,MMD-SDAE,mmd,7,0.0,0.5652492668621701
radial_shift,MMD-SDAE,mmd,7,-6.0,0.4930351906158358
radial_shift,DANN-SDAE,dann,7,6.0,0.5872434017595308
radial_shift,DANN-SDAE,dann,7,0.0,0.5454545454545454
radial_shift,DANN-SDAE,dann,7,-6.0,0.48826979472140764
radial_shift,Adaptive-SDAE-3M,proposed,7,6.0,0.623533724340176
radial_shift,Adaptive-SDAE-3M,proposed,7,0.0,0.5773460410557185
radial_shift,Adaptive-SDAE-3M,proposed,7,-6.0,0.5388563049853372
radial_shift,ERM-SDAE,erm,2024,6.0,0.594574780058651
radial_shift,ERM-SDAE,erm,2024,0.0,0.5542521994134897
radial_shift,ERM-SDAE,erm,2024,-6.0,0.4769061583577713
radial_shift,Mixup-SDAE,mixup,2024,6.0,0.5707478005865103
radial_shift,Mixup-SDAE,mixup,2024,0.0,0.5256598240469208
radial_shift,Mixup-SDAE,mixup,2024,-6.0,0.4270527859237537
radial_shift,CORAL-SDAE,coral,2024,6.0,0.5846774193548387
radial_shift,CORAL-SDAE,coral,2024,0.0,0.5538856304985337
radial_shift,CORAL-SDAE,coral,2024,-6.0,0.4736070381231672
radial_shift,MMD-SDAE,mmd,2024,6.0,0.5890762463343109
radial_shift,MMD-SDAE,mmd,2024,0.0,0.5582844574780058
radial_shift,MMD-SDAE,mmd,2024,-6.0,0.47580645161290325
radial_shift,DANN-SDAE,dann,2024,6.0,0.5722140762463344
radial_shift,DANN-SDAE,dann,2024,0.0,0.5480205278592375
radial_shift,DANN-SDAE,dann,2024,-6.0,0.49266862170087977
radial_shift,Adaptive-SDAE-3M,proposed,2024,6.0,0.6041055718475073
radial_shift,Adaptive-SDAE-3M,proposed,2024,0.0,0.5773460410557185
radial_shift,Adaptive-SDAE-3M,proposed,2024,-6.0,0.5146627565982405
