method,raw_method,accuracy_mean,accuracy_std
Adaptive-SDAE-3M,proposed,0.6814516129032259,0.09971063808932583
CORAL-SDAE,coral,0.6152248289345064,0.11480618763046255
MMD-SDAE,mmd,0.6133512544802867,0.11238692693940952
DANN-SDAE,dann,0.6089524275008146,0.1116115454478848
Mixup-SDAE,mixup,0.5951857282502444,0.14713154670974232
ERM-SDAE,erm,0.5933936135549039,0.13870205076221206
